Year,State,Crime_Category,Crime_Type,Cases,Level
2017,Selangor,Assault,Causing Injury,1108,Subcategory
2017,Selangor,Assault,Murder,83,Subcategory
2017,Selangor,Assault,Rape,321,Subcategory
2017,Selangor,Assault,Robbery Gang,3759,Subcategory
2017,Selangor,Assault,Robbery Solo,1199,Subcategory
2017,Selangor,Property,Break In,4133,Subcategory
2017,Selangor,Property,Theft Other,4091,Subcategory
2017,Selangor,Property,Theft Vehicle,11375,Subcategory
2017,Terengganu,Assault,Assault,354,Main
2017,Terengganu,Property,Property,1903,Main
2017,Terengganu,Assault,Causing Injury,130,Subcategory
2017,Terengganu,Assault,Murder,5,Subcategory
2017,Terengganu,Assault,Rape,64,Subcategory
2017,Terengganu,Assault,Robbery Gang,79,Subcategory
2017,Terengganu,Assault,Robbery Solo,76,Subcategory
2017,Terengganu,Property,Break In,456,Subcategory
2017,Terengganu,Property,Theft Other,365,Subcategory
2017,Terengganu,Property,Theft Vehicle,1082,Subcategory
2017,W.P. Kuala Lumpur,Assault,Assault,3999,Main
2017,W.P. Kuala Lumpur,Property,Property,9483,Main
2017,W.P. Kuala Lumpur,Assault,Causing Injury,651,Subcategory
2017,W.P. Kuala Lumpur,Assault,Murder,37,Subcategory
2017,W.P. Kuala Lumpur,Assault,Rape,132,Subcategory
2017,W.P. Kuala Lumpur,Assault,Robbery Gang,1988,Subcategory
2017,W.P. Kuala Lumpur,Assault,Robbery Solo,1191,Subcategory
2017,W.P. Kuala Lumpur,Property,Break In,1188,Subcategory
2017,W.P. Kuala Lumpur,Property,Theft Other,3128,Subcategory
2017,W.P. Kuala Lumpur,Property,Theft Vehicle,5167,Subcategory
2017,W.P. Labuan,Assault,Assault,20,Main
2017,W.P. Labuan,Property,Property,184,Main
2017,W.P. Labuan,Assault,Causing Injury,6,Subcategory
2017,W.P. Labuan,Assault,Murder,1,Subcategory
2017,W.P. Labuan,Assault,Rape,5,Subcategory
2017,W.P. Labuan,Assault,Robbery Gang,5,Subcategory
2017,W.P. Labuan,Assault,Robbery Solo,3,Subcategory
2017,W.P. Labuan,Property,Break In,52,Subcategory
2017,W.P. Labuan,Property,Theft Other,115,Subcategory
2017,W.P. Labuan,Property,Theft Vehicle,17,Subcategory
2017,W.P. Putrajaya,Assault,Assault,19,Main
2017,W.P. Putrajaya,Property,Property,236,Main
2017,W.P. Putrajaya,Assault,Causing Injury,3,Subcategory
2017,W.P. Putrajaya,Assault,Murder,0,Subcategory
2017,W.P. Putrajaya,Assault,Rape,2,Subcategory
2017,W.P. Putrajaya,Assault,Robbery Gang,10,Subcategory
2017,W.P. Putrajaya,Assault,Robbery Solo,4,Subcategory
2017,W.P. Putrajaya,Property,Break In,49,Subcategory
2017,W.P. Putrajaya,Property,Theft Other,88,Subcategory
2017,W.P. Putrajaya,Property,Theft Vehicle,99,Subcategory
2018,Johor,Assault,Assault,1880,Main
2018,Johor,Property,Property,8458,Main
2018,Johor,Assault,Causing Injury,578,Subcategory
2018,Johor,Assault,Murder,43,Subcategory
2018,Johor,Assault,Rape,187,Subcategory
2018,Johor,Assault,Robbery Gang,742,Subcategory
2018,Johor,Assault,Robbery Solo,330,Subcategory
2018,Johor,Property,Break In,1239,Subcategory
2018,Johor,Property,Theft Other,2025,Subcategory
2018,Johor,Property,Theft Vehicle,5194,Subcategory
2018,Kedah,Assault,Assault,989,Main
2018,Kedah,Property,Property,5232,Main
2018,Kedah,Assault,Causing Injury,337,Subcategory
2018,Kedah,Assault,Murder,9,Subcategory
2018,Kedah,Assault,Rape,119,Subcategory
2018,Kedah,Assault,Robbery Gang,355,Subcategory
2018,Kedah,Assault,Robbery Solo,169,Subcategory
2018,Kedah,Property,Break In,1130,Subcategory
2018,Kedah,Property,Theft Other,1101,Subcategory
2018,Kedah,Property,Theft Vehicle,3001,Subcategory
2018,Kelantan,Assault,Assault,511,Main
2018,Kelantan,Property,Property,3476,Main
2018,Kelantan,Assault,Causing Injury,190,Subcategory
2018,Kelantan,Assault,Murder,6,Subcategory
2018,Kelantan,Assault,Rape,101,Subcategory
2018,Kelantan,Assault,Robbery Gang,143,Subcategory
2018,Kelantan,Assault,Robbery Solo,71,Subcategory
2018,Kelantan,Property,Break In,699,Subcategory
2018,Kelantan,Property,Theft Other,613,Subcategory
2018,Kelantan,Property,Theft Vehicle,2164,Subcategory
2018,Melaka,Assault,Assault,621,Main
2018,Melaka,Property,Property,2179,Main
2018,Melaka,Assault,Causing Injury,198,Subcategory
2018,Melaka,Assault,Murder,13,Subcategory
2018,Melaka,Assault,Rape,51,Subcategory
2018,Melaka,Assault,Robbery Gang,176,Subcategory
2018,Melaka,Assault,Robbery Solo,183,Subcategory
2018,Melaka,Property,Break In,591,Subcategory
2018,Melaka,Property,Theft Other,434,Subcategory
2018,Melaka,Property,Theft Vehicle,1154,Subcategory
2018,Negeri Sembilan,Assault,Assault,831,Main
2018,Negeri Sembilan,Property,Property,2842,Main
2018,Negeri Sembilan,Assault,Causing Injury,249,Subcategory
2018,Negeri Sembilan,Assault,Murder,9,Subcategory
2018,Negeri Sembilan,Assault,Rape,97,Subcategory
2018,Negeri Sembilan,Assault,Robbery Gang,288,Subcategory
2018,Negeri Sembilan,Assault,Robbery Solo,188,Subcategory
2018,Negeri Sembilan,Property,Break In,873,Subcategory
2018,Negeri Sembilan,Property,Theft Other,1047,Subcategory
2018,Negeri Sembilan,Property,Theft Vehicle,922,Subcategory
2018,Pahang,Assault,Assault,572,Main
2018,Pahang,Property,Property,3012,Main
2018,Pahang,Assault,Causing Injury,199,Subcategory
2018,Pahang,Assault,Murder,8,Subcategory
2018,Pahang,Assault,Rape,109,Subcategory
2018,Pahang,Assault,Robbery Gang,166,Subcategory
2018,Pahang,Assault,Robbery Solo,90,Subcategory
2018,Pahang,Property,Break In,861,Subcategory
2018,Pahang,Property,Theft Other,1143,Subcategory
2018,Pahang,Property,Theft Vehicle,1008,Subcategory
2018,Perak,Assault,Assault,1005,Main
2018,Perak,Property,Property,4123,Main
2018,Perak,Assault,Causing Injury,358,Subcategory
2018,Perak,Assault,Murder,33,Subcategory
2018,Perak,Assault,Rape,104,Subcategory
2018,Perak,Assault,Robbery Gang,366,Subcategory
2018,Perak,Assault,Robbery Solo,144,Subcategory
2018,Perak,Property,Break In,1023,Subcategory
2018,Perak,Property,Theft Other,1041,Subcategory
2018,Perak,Property,Theft Vehicle,2059,Subcategory
2018,Perlis,Assault,Assault,126,Main
2018,Perlis,Property,Property,437,Main
2018,Perlis,Assault,Causing Injury,45,Subcategory
2018,Perlis,Assault,Murder,1,Subcategory
2018,Perlis,Assault,Rape,30,Subcategory
2018,Perlis,Assault,Robbery Gang,17,Subcategory
2018,Perlis,Assault,Robbery Solo,33,Subcategory
2018,Perlis,Property,Break In,54,Subcategory
2018,Perlis,Property,Theft Other,192,Subcategory
2018,Perlis,Property,Theft Vehicle,191,Subcategory
2018,Pulau Pinang,Assault,Assault,890,Main
2018,Pulau Pinang,Property,Property,4127,Main
2018,Pulau Pinang,Assault,Causing Injury,295,Subcategory
2018,Pulau Pinang,Assault,Murder,21,Subcategory
2018,Pulau Pinang,Assault,Rape,72,Subcategory
2018,Pulau Pinang,Assault,Robbery Gang,301,Subcategory
2018,Pulau Pinang,Assault,Robbery Solo,201,Subcategory
2018,Pulau Pinang,Property,Break In,855,Subcategory
2018,Pulau Pinang,Property,Theft Other,860,Subcategory
2018,Pulau Pinang,Property,Theft Vehicle,2412,Subcategory
2018,Sabah,Assault,Assault,580,Main
2018,Sabah,Property,Property,5571,Main
2018,Sabah,Assault,Causing Injury,216,Subcategory
2018,Sabah,Assault,Murder,37,Subcategory
2018,Sabah,Assault,Rape,178,Subcategory
2018,Sabah,Assault,Robbery Gang,72,Subcategory
2018,Sabah,Assault,Robbery Solo,77,Subcategory
2018,Sabah,Property,Break In,1881,Subcategory
2018,Sabah,Property,Theft Other,2952,Subcategory
2018,Sabah,Property,Theft Vehicle,738,Subcategory
2018,Sarawak,Assault,Assault,811,Main
2018,Sarawak,Property,Property,5019,Main
2018,Sarawak,Assault,Causing Injury,358,Subcategory
2018,Sarawak,Assault,Murder,17,Subcategory
2018,Sarawak,Assault,Rape,131,Subcategory
2018,Sarawak,Assault,Robbery Gang,217,Subcategory
2018,Sarawak,Assault,Robbery Solo,88,Subcategory
2018,Sarawak,Property,Break In,1497,Subcategory
2018,Sarawak,Property,Theft Other,1391,Subcategory
2018,Sarawak,Property,Theft Vehicle,2131,Subcategory
2018,Selangor,Assault,Assault,4658,Main
2018,Selangor,Property,Property,16762,Main
2018,Selangor,Assault,Causing Injury,993,Subcategory
2018,Selangor,Assault,Murder,91,Subcategory
2018,Selangor,Assault,Rape,294,Subcategory
2018,Selangor,Assault,Robbery Gang,2325,Subcategory
2018,Selangor,Assault,Robbery Solo,955,Subcategory
2018,Selangor,Property,Break In,3515,Subcategory
2018,Selangor,Property,Theft Other,3725,Subcategory
2018,Selangor,Property,Theft Vehicle,9522,Subcategory
2018,Terengganu,Assault,Assault,291,Main
2018,Terengganu,Property,Property,1532,Main
2018,Terengganu,Assault,Causing Injury,124,Subcategory
2018,Terengganu,Assault,Murder,2,Subcategory
2018,Terengganu,Assault,Rape,63,Subcategory
2018,Terengganu,Assault,Robbery Gang,59,Subcategory
2018,Terengganu,Assault,Robbery Solo,43,Subcategory
2018,Terengganu,Property,Break In,420,Subcategory
2018,Terengganu,Property,Theft Other,420,Subcategory
2018,Terengganu,Property,Theft Vehicle,692,Subcategory
2018,W.P. Kuala Lumpur,Assault,Assault,3137,Main
2018,W.P. Kuala Lumpur,Property,Property,8990,Main
2018,W.P. Kuala Lumpur,Assault,Causing Injury,520,Subcategory
2018,W.P. Kuala Lumpur,Assault,Murder,33,Subcategory
2018,W.P. Kuala Lumpur,Assault,Rape,112,Subcategory
2018,W.P. Kuala Lumpur,Assault,Robbery Gang,1347,Subcategory
2018,W.P. Kuala Lumpur,Assault,Robbery Solo,1125,Subcategory
2018,W.P. Kuala Lumpur,Property,Break In,1104,Subcategory
2018,W.P. Kuala Lumpur,Property,Theft Other,3121,Subcategory
2018,W.P. Kuala Lumpur,Property,Theft Vehicle,4765,Subcategory
2018,W.P. Labuan,Assault,Assault,25,Main
2018,W.P. Labuan,Property,Property,241,Main
2018,W.P. Labuan,Assault,Causing Injury,12,Subcategory
2018,W.P. Labuan,Assault,Murder,3,Subcategory
2018,W.P. Labuan,Assault,Rape,4,Subcategory
2018,W.P. Labuan,Assault,Robbery Gang,3,Subcategory
2018,W.P. Labuan,Assault,Robbery Solo,3,Subcategory
2018,W.P. Labuan,Property,Break In,77,Subcategory
2018,W.P. Labuan,Property,Theft Other,151,Subcategory
2018,W.P. Labuan,Property,Theft Vehicle,13,Subcategory
2018,W.P. Putrajaya,Assault,Assault,16,Main
2018,W.P. Putrajaya,Property,Property,195,Main
2018,W.P. Putrajaya,Assault,Causing Injury,6,Subcategory
2018,W.P. Putrajaya,Assault,Murder,0,Subcategory
2018,W.P. Putrajaya,Assault,Rape,2,Subcategory
2018,W.P. Putrajaya,Assault,Robbery Gang,4,Subcategory
2018,W.P. Putrajaya,Assault,Robbery Solo,4,Subcategory
2018,W.P. Putrajaya,Property,Break In,51,Subcategory
2018,W.P. Putrajaya,Property,Theft Other,63,Subcategory
2018,W.P. Putrajaya,Property,Theft Vehicle,81,Subcategory
2019,Johor,Assault,Assault,1923,Main
2019,Johor,Property,Property,7947,Main
2019,Johor,Assault,Causing Injury,599,Subcategory
2019,Johor,Assault,Murder,35,Subcategory
2019,Johor,Assault,Rape,206,Subcategory
2019,Johor,Assault,Robbery Gang,754,Subcategory
2019,Johor,Assault,Robbery Solo,329,Subcategory
2019,Johor,Property,Break In,1364,Subcategory
2019,Johor,Property,Theft Other,1912,Subcategory
2019,Johor,Property,Theft Vehicle,4671,Subcategory
2019,Kedah,Assault,Assault,937,Main
